Date,Open,High,Low,Close,Volume,OpenInt,Stock,Rate
9/7/1984,0.42388,0.42902,0.41874,0.42388,23220030,0,AAPL,
9/10/1984,0.42388,0.42516,0.41366,0.42134,18022532,0,AAPL,-0.599226196
9/11/1984,0.42516,0.43668,0.42516,0.42902,42498199,0,AAPL,1.822755969
9/12/1984,0.42902,0.43157,0.41618,0.41618,37125801,0,AAPL,-2.992867465
9/13/1984,0.43927,0.44052,0.43927,0.43927,57822062,0,AAPL,5.548080158
9/14/1984,0.44052,0.45589,0.44052,0.44566,68847968,0,AAPL,1.454686184
9/17/1984,0.45718,0.46357,0.45718,0.45718,53755262,0,AAPL,2.584930216
9/18/1984,0.45718,0.46103,0.44052,0.44052,27136886,0,AAPL,-3.644078919
9/19/1984,0.44052,0.44566,0.43157,0.43157,29641922,0,AAPL,-2.031689821
9/20/1984,0.43286,0.43668,0.43286,0.43286,18453585,0,AAPL,0.298908636
9/21/1984,0.43286,0.44566,0.42388,0.42902,27842780,0,AAPL,-0.887122857
9/24/1984,0.42902,0.43157,0.42516,0.42516,22033109,0,AAPL,-0.899724955
9/25/1984,0.42388,0.42388,0.41618,0.41618,46515020,0,AAPL,-2.112146016
9/26/1984,0.41618,0.4354,0.41111,0.41111,30947546,0,AAPL,-1.218222884
9/27/1984,0.41111,0.41366,0.41111,0.41111,29541971,0,AAPL,0
9/28/1984,0.41111,0.41111,0.39316,0.40081,65093531,0,AAPL,-2.505412177
10/1/1984,0.39956,0.39956,0.39186,0.39186,27268068,0,AAPL,-2.232978219
10/2/1984,0.39443,0.40853,0.39443,0.39443,32977801,0,AAPL,0.655846476
10/3/1984,0.40081,0.40724,0.40081,0.40081,33583772,0,AAPL,1.617524022
10/4/1984,0.40593,0.40853,0.40593,0.40593,34995586,0,AAPL,1.277413238
10/5/1984,0.40593,0.40593,0.39443,0.39699,27211851,0,AAPL,-2.202350159
10/8/1984,0.39699,0.39956,0.39699,0.39699,13099922,0,AAPL,0
10/9/1984,0.39699,0.39956,0.39316,0.39316,34933112,0,AAPL,-0.964759818
10/10/1984,0.39316,0.39316,0.38164,0.38164,101750813,0,AAPL,-2.930104792
10/11/1984,0.38164,0.39186,0.37906,0.37906,50969114,0,AAPL,-0.676029766
10/12/1984,0.37906,0.38164,0.35985,0.36241,74126674,0,AAPL,-4.392444468
10/15/1984,0.38289,0.38674,0.38289,0.38289,67842205,0,AAPL,5.651058194
10/16/1984,0.38289,0.38419,0.38164,0.38164,32915346,0,AAPL,-0.32646452
10/17/1984,0.39699,0.39956,0.39699,0.39699,43685142,0,AAPL,4.022115082
10/18/1984,0.40853,0.41111,0.40853,0.40853,68929180,0,AAPL,2.906874229
10/19/1984,0.40853,0.43668,0.40724,0.40853,90949795,0,AAPL,0
10/22/1984,0.40853,0.41491,0.40593,0.40593,32003288,0,AAPL,-0.636428169
10/23/1984,0.41491,0.41874,0.41491,0.41491,51993625,0,AAPL,2.212204075
10/24/1984,0.41874,0.42388,0.41874,0.41874,46577491,0,AAPL,0.923091755
10/25/1984,0.41874,0.41874,0.40339,0.40339,44109940,0,AAPL,-3.665759182
10/26/1984,0.40339,0.40339,0.39186,0.39316,32028264,0,AAPL,-2.536007338
10/29/1984,0.39443,0.39699,0.39443,0.39443,14124427,0,AAPL,0.323023705
10/30/1984,0.39956,0.40339,0.39956,0.39956,20802447,0,AAPL,1.300611008
10/31/1984,0.39956,0.40339,0.39699,0.39699,16798133,0,AAPL,-0.643207528
11/1/1984,0.39956,0.40339,0.39956,0.39956,13118654,0,AAPL,0.64737147
11/2/1984,0.39956,0.40081,0.39443,0.39699,7721268,0,AAPL,-0.643207528
